Name (Optional),Age,Gender,Email,Contact Number,After I’ve gone through a really dangerous experience  ,I’d rather  ,Call me a name and  ,In love and war  ,When I go to parties  ,some people have told me  ,  so-called effeminate men  ,Using drugs or alcohol to “encourage” a woman to have sex with you is  ,  I like ,so-called prick teasers ,When I have had a few drinks ,Any man who is a man  ,When I have a drink or two ,When it comes to taking risks ,In conflicts with others ,Getting into fights,When I feel like fighting I  ,"Given what I know about fighting,  ",  When I’m bored ,I like to ,so-called pick-ups should    ,  In my opinion  ,  When it comes to having sex  ,   I would prefer to be a  ,Lesbians have a particular lifestyle  ,"If someone challenges you to a fight,  ","  If you insult me,  ","Has anyone touched your sex organs in a sexual manner or against your will?  If yes, how old were you when it first happened?","Has anyone ever forced you to touch his or her sex organs in a sexual manner and against your will?  If yes, how old were you when it first happened?","Has anyone tried to force you to have sexual intercourse against your will? If yes, how old were you when it first happened?","Have you ever had another unwanted or threatening sexual experience that is not named above? If yes, how old were you when it first happened?","If you ever had another unwanted or threatening sexual experience that is not named above, can you give a short description of what it involved?","If you have had one of the above experiences, have you ever discussed it with anyone? If yes, with whom?","Have you ever intentionally been treated by someone in such a way that you suffered physical injury (for example beaten, stamped on, kicked or pushed)?
(Physical injury means, for example: bruises, welts, broken nose, broken teeth, broken bones, cuts, burns and loss of consciousness). If yes, how old were you when it first happened?","Have you ever experienced something that is not listed above and which you have perceived as violent? If yes, how old were you when it first happened?","If you ever experienced something that is not listed above and which you have perceived as violent, can you describe briefly?","If you have ever experienced one of these things (physical violence or physical injury due to someone), have you ever discussed it with anyone?","If you have had one of the above experiences, would you like to talk to someone about it?",I am ashamed of how few sexual experiences I’ve had at this point  ,I often feel guilty or ashamed after masturbating  ,"If I could get rid of my interest in sex, I would  ",I am comfortable with my body  ,I have had sexual experiences with other men that I would be ashamed to tell anyone about  ,I am confident in my ability to please my partners in bed  ,I am good at sex  ,I have had sexual thoughts that I would be ashamed to tell anyone about  ,I find it uncomfortable to look at myself while naked  ,It would be better if I had a lower sex drive  ,I am ashamed that I use/have used pornography  ,My lack of sexual experiences makes me feel like less of a man  ,I wish I didn’t need as much sex as I do  ,I worry that most men have had more sex than me  ,I would feel better about myself if I viewed less porn than I do  ,I am self-conscious about the way my body looks  ,I have engaged in sexual acts that I would be ashamed to tell anyone about  ,I worry about being able to sexually satisfy my partner(s)  ,I usually tell people I’ve had FEWER sexual partners than I’ve had  ,I worry about being rejected because of my body  ,I am comfortable with the amount of sex I need  ,I feel bad about wanting to masturbate  ,I would feel better about myself if I had more sexual experiences  ,I feel sexually inadequate  ,Watching pornography makes me feel bad about myself  ,I am embarrassed by my sexual functioning or performance  ,I’ve told others that I am MORE sexually experienced than I really am to escape ridicule  ,"As best I can, I avoid seeing myself naked  ",I feel bad about liking sex  ,I’ve told people that I am LESS sexually experienced than I really am to escape ridicule  
Hrithik Chandra,27,Male,hrithikchandra@gmail.com,9581681029,5,10,9,3,9,9,10,1,10,4,10,5,6,1,6,1,1,6,10,3,3,10,1,7,3,10,10,No,No,No,No,Nooo,No,"Yes, I was less than 6 year old","Yes, I was 16 year old or older",Nothing,No,Yes,1,2,1,4,1,5,4,1,1,3,2,2,1,5,1,5,1,2,5,1,5,3,3,2,2,1,3,5,1,1
Keshav Saxena,23,Male,keshavsaxena@gmail.com,9220327366,5,7,7,6,1,5,5,1,10,1,4,6,10,10,8,5,3,7,9,1,10,8,8,10,7,4,8,"Yes, I was 16 year old or older",No,Yes,No,Nothing ,No,No,No,No,No,Not applicable,5,2,1,5,3,3,5,1,1,3,3,3,1,3,4,5,2,4,1,2,5,3,4,1,4,1,1,3,2,2
Krish Chauhan,28,Male,krishchauhan@gmail.com,9231395117,8,6,10,4,5,7,5,3,10,3,1,5,2,10,4,10,3,4,9,4,6,6,9,1,1,8,1,No,No,No,No,No,No,No,No,No,No,Don't know,5,5,1,4,2,3,1,4,3,1,3,1,2,1,5,1,3,4,4,1,3,4,3,1,4,1,1,4,1,2
Manish Kapoor,21,Male,manishkapoor@gmail.com,7923652316,5,1,6,5,5,9,9,7,10,4,8,5,10,7,1,4,3,10,9,1,5,1,1,10,3,5,5,"Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 6 year old or older, but less than 12 year old",No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,1,1,1,5,1,5,4,5,1,1,1,1,2,4,5,3,4,1,3,1,3,3,3,1,1,1,1,1,1,5
Naveen Verma,26,Male,naveenverma@gmail.com,7347577666,7,10,5,3,5,8,8,9,8,6,1,6,1,2,10,5,4,6,1,10,3,7,5,1,6,10,1,"Yes, I was 16 year old or older",No,"Yes, I was 6 year old or older, but less than 12 year old",No, It’s ok to have ,No,Yes,No, No,No,Not applicable,1,1,1,5,1,3,3,4,1,1,1,3,5,1,4,2,3,3,5,1,4,4,4,1,2,1,5,2,1,1
Pranav Malhotra,25,Male,pranavmalhotra@gmail.com,9805285244,8,1,6,3,1,6,4,7,5,5,5,6,5,10,1,7,8,5,7,4,10,8,6,10,5,10,1,"Yes, I was 16 year old or older",No,No,No,Nothing,No,No,No,Nothing,No,Yes,1,1,1,4,1,3,2,3,2,5,1,4,3,3,1,3,3,4,2,3,1,3,3,5,2,1,1,2,1,3
Raghav Joshi,29,Male,raghavjoshi@gmail.com,9391241550,2,10,7,2,8,4,9,1,10,6,1,5,9,10,1,5,10,10,4,4,7,3,1,10,5,5,1,No,No,No,Yes,No,No,No,No,No,No,Don't know,1,3,1,3,3,3,4,5,2,4,3,2,3,1,1,4,2,2,5,1,4,4,3,5,2,2,1,3,3,1
Rahul Sharma,21,Male,rahulsharma@gmail.com,7328933567,8,1,6,2,10,5,5,1,10,2,7,1,3,2,3,5,1,10,1,6,5,1,1,3,3,9,1,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,Nothing,No,No,"Yes, I was 6 year old or older, but less than 12 year old",Na,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",Not applicable,3,2,3,4,1,3,5,3,3,5,3,1,1,5,3,5,3,1,1,1,5,3,5,3,3,2,1,2,2,2
Ritvik Rao,23,Male,ritvikrao@gmail.com,6445917909,5,7,6,7,1,1,9,1,5,10,10,3,5,4,5,10,2,3,10,3,10,4,1,2,6,3,1,"Yes, I was 12 year old or older, but less than 16 year old",No,"Yes, I was 12 year old or older, but less than 16 year old",No,Nothing,No,No,No,Commenting ,No,No,1,1,3,5,3,1,3,3,3,2,1,4,3,1,1,4,3,1,2,4,3,4,1,1,1,1,4,2,3,1
Rohan Desai,25,Male,rohandesai@gmail.com,8204817123,1,10,2,10,10,7,8,3,5,3,8,10,5,10,1,1,1,8,8,4,8,7,1,10,5,2,5,No,"Yes, I was less than 6 year old",No,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No strong enough mentally and physically to scare them away,No,Yes,3,2,3,5,1,5,1,3,2,2,4,4,1,2,2,3,4,3,5,1,4,4,1,1,1,1,1,1,3,1
Sagar Patel,28,Male,sagarpatel@gmail.com,9649472691,5,6,6,6,5,3,8,1,4,6,1,8,10,2,3,5,1,4,6,6,7,10,10,10,10,2,5,"Yes, I was 16 year old or older","Yes, I was less than 6 year old",No,No,No,No,No,"Yes, I was 6 year old or older, but less than 12 year old", No,No,Not applicable,1,3,3,3,1,5,4,4,5,3,3,1,3,1,4,2,1,3,5,4,1,4,3,2,2,2,1,1,3,4
Saket Bhatt,25,Male,saketbhatt@gmail.com,8370491433,8,5,1,6,1,9,5,1,7,7,5,1,9,6,1,10,3,5,10,5,7,10,5,2,5,5,1,"Yes, I was 16 year old or older","Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,Yes,1,1,1,5,1,5,5,1,3,4,3,1,1,1,2,2,5,1,3,3,2,2,2,1,2,2,1,1,1,5
Shaurya Singh,23,Male,shauryasingh@gmail.com,6911720136,10,5,3,9,1,10,4,1,10,5,5,9,1,5,9,1,10,2,10,5,10,10,1,3,5,5,4,No,No,No,No,No,No,No,No,Nothing,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",Don't know,1,4,3,4,1,3,5,4,2,1,1,1,2,1,2,5,1,1,1,4,5,4,3,1,1,3,5,2,1,1
Shivam Nair,19,Male,shivamnair@gmail.com,9524061265,4,6,10,5,8,9,5,3,1,4,1,4,5,4,8,7,5,6,1,1,10,5,10,10,5,5,3,No,No,No,No,No,No,No,No,No,No,No,1,1,1,5,5,5,3,2,3,3,2,4,1,2,5,1,1,3,1,1,3,5,4,1,2,2,1,2,1,1
Tanay Khanna,29,Male,tanaykhanna@gmail.com,8058707084,2,6,5,6,8,2,4,1,10,4,10,5,9,4,6,5,8,2,7,8,9,10,1,1,3,5,1,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,Nothing,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",No,1,2,1,5,1,4,5,3,1,1,4,4,1,3,1,2,4,3,5,3,3,4,4,1,3,3,3,2,2,2
Tanishq Kapoor,24,Male,tanishqkapoor@gmail.com,9057153721,8,6,10,1,10,7,8,1,6,5,1,1,8,8,5,4,8,1,5,4,6,9,5,6,10,8,8,"Yes, I was 16 year old or older",No,"Yes, I was 16 year old or older",No,Nothing ,No,Yes,No,Nothing,No,Not applicable,1,1,2,4,2,3,3,2,3,2,2,1,2,4,2,3,3,3,1,1,1,1,3,2,2,1,1,3,4,2
Ujjwal Mehta,20,Male,ujjwalmehta@gmail.com,6141965611,6,6,6,1,7,10,3,1,10,5,10,10,1,4,10,9,7,1,1,1,8,4,1,10,3,5,5,Yes,No,No,No,Nothing ,No,"Yes, I was 6 year old or older, but less than 12 year old","Yes, I was 6 year old or older, but less than 12 year old",Beatings from Parents,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",Yes,1,1,5,2,1,3,5,3,1,2,3,2,3,4,3,4,1,2,1,1,3,5,5,3,2,3,2,4,4,4
Vihaan Bhatia,28,Male,vihaanbhatia@gmail.com,8241040663,5,8,6,2,8,1,2,6,5,5,10,10,2,10,4,5,1,2,1,4,8,7,1,10,1,9,1,No,"Yes, I was 16 year old or older",No,"Yes, I was 12 year old or older, but less than 16 year old",Na,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,"Yes, I was 16 year old or older",Nothing,No,Don't know,2,5,3,5,1,5,4,1,3,1,3,1,5,5,4,1,3,4,2,1,3,3,1,3,1,1,3,2,3,5
Yash Joshi,28,Male,yashjoshi@gmail.com,9835846893,5,7,10,1,5,7,8,7,7,4,5,5,1,5,9,5,5,1,10,8,5,3,1,10,5,5,6,"Yes, I was 16 year old or older","Yes, I was 16 year old or older","Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,No,No,No,Yes,1,3,1,5,1,5,5,1,2,2,1,1,5,1,5,3,5,1,1,3,5,3,5,3,1,2,3,2,4,1
Yuvraj Choudhary,19,Male,yuvrajchoudhary@gmail.com,6658259641,8,10,8,9,4,10,9,1,5,7,1,5,1,1,5,9,3,10,5,5,9,8,9,10,5,8,1,No,"Yes, I was less than 6 year old",No,No, It’s ok to have ,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,No,Commenting ,Yes,Don't know,1,4,1,4,1,5,4,4,1,3,3,4,1,2,5,5,1,1,4,2,4,2,4,1,2,1,4,2,5,1
Aarush Reddy,18,Male,aarushreddy@gmail.com,6634632099,5,8,10,10,1,9,5,1,10,1,5,1,7,4,1,8,3,10,9,1,5,4,1,5,3,9,3,No,No,No,No,Nothing,No,No,"Yes, I was 16 year old or older",No,No,No,1,1,1,5,1,4,5,1,3,3,3,1,2,1,2,2,4,1,5,1,3,5,2,5,3,1,2,2,2,5
Advait Sharma,26,Male,advaitsharma@gmail.com,9224469097,10,4,9,10,5,1,9,6,5,1,1,7,5,6,5,9,5,5,1,1,5,10,4,7,7,1,5,No,No,"Yes, I was 16 year old or older",No,No,No,No,No,No,No,No,4,1,3,5,1,3,5,2,3,3,1,1,3,2,1,3,4,4,1,1,1,5,2,3,2,1,2,2,2,1
Anay Mehta,22,Male,anaymehta@gmail.com,9911010262,5,10,10,1,5,2,5,6,10,4,10,1,1,5,3,4,3,5,10,10,10,3,1,5,10,1,8,No,No,No,No,No,No,No,Yes,Nothing,No,Don't know,4,2,2,5,1,2,5,1,1,1,2,1,3,1,2,2,1,1,1,2,2,1,2,1,1,4,3,2,1,3
Darshan Verma,25,Male,darshanverma@gmail.com,8615518892,1,5,3,7,8,1,9,1,4,1,1,7,5,5,1,5,1,6,7,6,1,1,5,6,2,10,5,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,No,Yes,"Yes, I was less than 6 year old",No,No,"Yes, I have discussed it with a relative",Don't know,2,3,1,5,2,5,4,4,3,4,1,3,2,2,4,3,3,3,4,3,1,3,1,1,4,2,1,2,1,4
Gaurav Malhotra,19,Male,gauravmalhotra@gmail.com,9477750386,10,6,6,8,8,2,6,1,10,4,1,1,2,5,6,8,5,1,5,1,6,10,1,3,9,5,5,No,No,No,No,Nothing,No,No,No,Beatings from Parents,No,Yes,3,2,1,4,3,5,4,1,1,3,2,3,1,4,5,4,4,3,3,1,1,1,3,2,2,1,4,2,2,1
Ishaan Joshi,20,Male,ishaanjoshi@gmail.com,9671138421,5,6,5,1,3,1,5,6,6,3,5,9,1,7,1,5,3,7,3,7,9,4,9,7,9,5,10,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)","Yes, I was 16 year old or older",No, No,Yes,Not applicable,1,1,4,4,2,4,5,1,1,3,1,1,2,1,4,3,3,1,1,1,3,2,3,3,3,1,1,2,2,4
Kunal Rao,29,Male,kunalrao@gmail.com,7080968846,5,1,6,6,1,4,10,1,4,1,6,7,9,1,9,8,8,5,1,6,5,7,1,1,1,2,5,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,Nothing,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,No,No strong enough mentally and physically to scare them away,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,1,4,1,5,1,3,2,2,1,3,1,1,2,4,1,4,4,1,1,1,3,4,5,5,4,1,4,3,2,2
Manav Desai,23,Male,manavdesai@gmail.com,6874571919,1,7,10,9,10,5,3,1,10,6,1,5,2,1,1,10,4,2,1,2,3,8,9,5,1,4,5,"Yes, I was 16 year old or older",No,No,Yes,No,No,No,No,Beatings from Parents,No,Don't know,1,1,1,4,2,5,4,4,1,4,1,1,1,3,2,3,3,1,3,5,3,2,3,3,2,1,4,2,1,3
Nikhil Patel,22,Male,nikhilpatel@gmail.com,7336150244,10,8,10,1,3,7,1,5,10,1,4,10,3,6,1,8,1,5,7,3,5,9,3,2,1,10,4,No,No,No,No,No,No,"Yes, I was 16 year old or older",No, No,No,Don't know,1,4,1,4,1,5,5,3,2,2,1,1,1,4,5,5,5,1,4,4,4,1,4,2,1,2,4,3,2,3
Parth Bhatt,27,Male,parthbhatt@gmail.com,8697981987,10,8,10,6,10,9,4,1,10,4,5,6,6,10,1,9,8,7,7,1,9,10,1,10,5,1,5,"Yes, I was 6 year old or older, but less than 12 year old",No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,No,No,Beatings from Parents,No,Yes,3,4,4,4,2,3,5,3,5,2,3,4,1,1,3,4,1,3,2,2,4,3,1,3,3,3,1,1,1,5
Pranav Singh,19,Male,pranavsingh@gmail.com,8603885574,1,5,10,9,5,3,9,5,7,6,10,3,2,2,5,10,10,2,10,3,5,10,1,10,6,10,1,No,No,No,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,Nothing,No,No,4,1,1,5,2,5,1,2,1,5,2,4,1,1,1,3,1,1,1,5,5,1,1,4,2,1,2,2,1,3
Raghav Kapoor,26,Male,raghavkapoor@gmail.com,9539978301,5,2,5,10,8,2,4,10,10,1,10,6,3,7,5,5,2,6,10,1,10,10,1,5,6,10,6,No,No,No,No,No,No,No,No,No,No,Don't know,1,2,1,4,3,5,5,4,3,3,5,2,2,1,2,1,3,1,3,2,4,3,2,3,5,2,1,2,2,3
Ritvik Mehra,18,Male,ritvikmehra@gmail.com,7430759645,5,7,6,10,7,4,5,1,10,1,5,9,5,4,6,10,5,5,8,9,5,10,2,7,3,1,1,No,No,No,No,No,"Yes, I have discussed it with a relative","Yes, I was 16 year old or older","Yes, I was 12 year old or older, but less than 16 year old",Beatings from Parents,No,No,3,1,1,5,1,3,4,1,2,1,3,1,1,5,5,3,5,1,3,3,3,3,3,3,3,1,3,1,1,5
Sahil Chandra,20,Male,sahilchandra@gmail.com,7719360430,5,3,3,6,10,7,6,1,10,10,5,5,7,3,3,8,5,2,4,6,5,10,1,1,3,4,4,Yes,No,No,No,Nothing,No,No,No,No,No,No,1,1,1,5,5,5,5,2,3,5,1,3,1,2,5,1,4,1,5,1,3,4,3,2,3,3,1,2,2,4
Shaurya Saxena,19,Male,shauryasaxena@gmail.com,7528906005,10,6,8,6,10,7,1,1,1,7,5,6,10,7,10,9,8,10,8,1,8,7,5,3,5,10,6,No,"Yes, I was 16 year old or older",No,No,No,Yes,No,No,No,No,Yes,1,2,3,4,1,5,5,1,2,1,1,1,1,1,2,2,1,2,2,1,3,2,5,3,2,1,3,1,4,5
Shivendra Gupta,26,Male,shivendragupta@gmail.com,6409276648,10,6,7,10,8,8,1,5,10,10,5,10,9,5,10,10,8,4,1,4,7,10,1,4,1,2,1,"Yes, I was 16 year old or older","Yes, I was 6 year old or older, but less than 12 year old",No,No,Nothing,No,No,No,No,"Yes, I have discussed it with a relative",Not applicable,1,1,1,4,3,2,5,1,1,3,2,4,1,1,2,3,3,1,5,1,3,3,3,1,5,3,1,1,1,5
Tanveer Nair,22,Male,tanveernair@gmail.com,9617134996,7,6,10,9,3,5,10,3,8,4,5,7,7,7,7,7,1,6,6,3,6,7,1,3,3,10,5,"Yes, I was 16 year old or older",No,No,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,Beatings from Parents,No,No,3,3,2,3,2,5,2,1,1,5,3,3,1,2,4,3,2,5,2,5,4,1,2,5,1,3,2,3,3,2
Tanish Malhotra,24,Male,tanishmalhotra@gmail.com,9441634540,1,5,10,4,5,5,6,6,10,3,10,4,10,1,5,5,2,6,10,1,5,7,1,3,1,5,1,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,Yes,1,3,3,5,5,3,5,3,3,3,4,1,1,1,4,4,3,1,1,2,2,4,3,3,3,3,2,1,1,4
Vihaan Kapoor,26,Male,vihaankapoor@gmail.com,7248337500,5,6,8,5,8,4,8,1,10,3,5,3,1,3,10,4,9,5,10,1,10,8,1,1,1,5,7,No,No,No,No,No ,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)","Yes, I was 16 year old or older","Yes, I was 12 year old or older, but less than 16 year old",No strong enough mentally and physically to scare them away,"Yes, I have discussed it with a relative",Don't know,5,3,2,4,1,5,2,4,1,1,2,1,1,1,4,1,1,4,3,3,3,5,3,1,2,1,3,5,1,4
Yashvardhan Sharma,19,Male,yashvardhansharma@gmail.com,8437143712,5,5,5,6,1,8,8,5,10,4,5,2,1,8,6,4,1,2,1,8,10,10,1,10,10,5,3,"Yes, I was 16 year old or older","Yes, I was 16 year old or older","Yes, I was 6 year old or older, but less than 12 year old",No,No,Yes,No,No,Nothing,No,Yes,3,2,1,4,1,5,4,2,2,2,5,4,2,4,1,5,1,2,2,1,4,3,3,3,3,3,1,4,1,2
Aadesh Verma,20,Male,aadeshverma@gmail.com,9973348450,5,5,5,10,3,1,2,4,10,6,9,10,10,7,3,10,8,2,6,10,6,10,1,3,1,8,3,No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)","Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 12 year old or older, but less than 16 year old",No,No,Not applicable,1,1,1,3,1,4,2,3,1,3,3,1,4,1,5,2,1,4,1,4,4,3,2,3,3,4,1,4,1,1
Aditya Joshi,21,Male,adityajoshi@gmail.com,8232865984,10,5,6,1,8,4,5,3,5,1,1,5,7,10,10,5,3,5,6,3,9,7,1,1,6,9,3,"Yes, I was 16 year old or older",No,No,No,Nooo,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",Yes,"Yes, I was 16 year old or older",Not Relevant ,Yes,No,3,3,1,5,3,5,4,1,2,1,3,2,3,4,1,1,2,1,2,4,2,5,1,3,5,2,1,2,2,5
Akarsh Bhatt,27,Male,akarshbhatt@gmail.com,9917221521,4,5,8,5,1,5,5,6,9,1,1,6,8,1,5,8,3,5,8,1,5,9,6,1,1,5,3,No,"Yes, I was 12 year old or older, but less than 16 year old",No,"Yes, I was 12 year old or older, but less than 16 year old",Nothing ,"Yes, I have discussed it with a relative",No,No,No,No,No,5,1,1,4,5,5,3,4,3,2,3,1,3,1,1,1,1,1,3,2,4,3,5,4,1,1,2,2,1,2
Anshuman Reddy,27,Male,anshumanreddy@gmail.com,6986630050,7,6,5,10,8,10,9,1,9,5,6,6,5,2,10,7,8,10,10,3,5,10,1,3,1,1,6,No,"Yes, I was 12 year old or older, but less than 16 year old",No,"Yes, I was 16 year old or older",Nooo,"Yes, I have discussed it with a relative","Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,1,2,2,4,2,3,4,3,2,2,1,1,1,1,1,3,1,2,1,1,4,2,2,1,2,1,2,2,1,3
Darsh Malhotra,22,Male,darshmalhotra@gmail.com,6521407741,10,2,3,9,10,6,1,1,10,4,1,3,9,5,7,5,5,8,8,5,6,4,1,5,4,5,8,No,Yes,"Yes, I was 6 year old or older, but less than 12 year old",No,No,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,No,Not Relevant ,No,No,3,3,3,4,5,5,2,3,1,2,1,1,1,4,3,4,1,5,1,2,2,2,1,5,1,3,1,1,1,3
Hrithik Verma,28,Male,hrithikverma@gmail.com,7512687464,1,10,1,1,5,1,5,1,8,5,8,5,5,3,5,10,5,2,9,4,6,3,10,2,1,5,6,No,No,No,No,Nothing,No,No,No,No,Yes,Not applicable,1,4,1,5,5,4,3,4,4,3,3,1,4,5,1,1,1,3,3,1,3,3,1,2,1,2,1,2,3,1
Keshav Joshi,21,Male,keshavjoshi@gmail.com,8249273587,1,5,3,5,10,5,10,2,10,5,5,6,5,1,9,4,1,10,10,1,6,10,1,5,1,10,5,Yes,No,"Yes, I was 6 year old or older, but less than 12 year old",No,Na,No,No,No,Not Relevant ,No,No,3,3,1,5,5,5,5,5,5,3,3,4,1,2,5,3,1,2,3,4,4,5,5,1,3,1,4,3,3,4
