Name (Optional),Age,Gender,Email,Contact Number,After I've gone through a really dangerous experience  ,I'd rather  ,Call me a name and  ,In love and war  ,When I go to parties  ,some people have told me  ,  so-called effeminate men  ,"Using drugs or alcohol to ""encourage"" a woman to have sex with you is  ",  I like ,so-called prick teasers ,When I have had a few drinks ,Any man who is a man  ,When I have a drink or two ,When it comes to taking risks ,In conflicts with others ,Getting into fights,When I feel like fighting I  ,"Given what I know about fighting,  ",  When I'm bored ,I like to ,so-called pick-ups should    ,  In my opinion  ,  When it comes to having sex  ,   I would prefer to be a  ,Lesbians have a particular lifestyle  ,"If someone challenges you to a fight,  ","  If you insult me,  ","Has anyone touched your sex organs in a sexual manner or against your will?  If yes, how old were you when it first happened?","Has anyone ever forced you to touch his or her sex organs in a sexual manner and against your will?  If yes, how old were you when it first happened?","Has anyone tried to force you to have sexual intercourse against your will? If yes, how old were you when it first happened?","Have you ever had another unwanted or threatening sexual experience that is not named above? If yes, how old were you when it first happened?","If you ever had another unwanted or threatening sexual experience that is not named above, can you give a short description of what it involved?","If you have had one of the above experiences, have you ever discussed it with anyone? If yes, with whom?","Have you ever intentionally been treated by someone in such a way that you suffered physical injury (for example beaten, stamped on, kicked or pushed)?
(Physical injury means, for example: bruises, welts, broken nose, broken teeth, broken bones, cuts, burns and loss of consciousness). If yes, how old were you when it first happened?","Have you ever experienced something that is not listed above and which you have perceived as violent? If yes, how old were you when it first happened?","If you ever experienced something that is not listed above and which you have perceived as violent, can you describe briefly?","If you have ever experienced one of these things (physical violence or physical injury due to someone), have you ever discussed it with anyone?","If you have had one of the above experiences, would you like to talk to someone about it?",I am ashamed of how few sexual experiences I've had at this point  ,I often feel guilty or ashamed after masturbating  ,"If I could get rid of my interest in sex, I would  ",I am comfortable with my body  ,I have had sexual experiences with other men that I would be ashamed to tell anyone about  ,I am confident in my ability to please my partners in bed  ,I am good at sex  ,I have had sexual thoughts that I would be ashamed to tell anyone about  ,I find it uncomfortable to look at myself while naked  ,It would be better if I had a lower sex drive  ,I am ashamed that I use/have used pornography  ,My lack of sexual experiences makes me feel like less of a man  ,I wish I didn't need as much sex as I do  ,I worry that most men have had more sex than me  ,I would feel better about myself if I viewed less porn than I do  ,I am self-conscious about the way my body looks  ,I have engaged in sexual acts that I would be ashamed to tell anyone about  ,I worry about being able to sexually satisfy my partner(s)  ,I usually tell people I've had FEWER sexual partners than I've had  ,I worry about being rejected because of my body  ,I am comfortable with the amount of sex I need  ,I feel bad about wanting to masturbate  ,I would feel better about myself if I had more sexual experiences  ,I feel sexually inadequate  ,Watching pornography makes me feel bad about myself  ,I am embarrassed by my sexual functioning or performance  ,I've told others that I am MORE sexually experienced than I really am to escape ridicule  ,"As best I can, I avoid seeing myself naked  ",I feel bad about liking sex  ,I've told people that I am LESS sexually experienced than I really am to escape ridicule  
Aryan Sehgal,22,Male,aryansehgal@outlook.com,6930716063,4,9,5,5,8,3,2,3,8,5,7,7,6,5,7,6,3,4,7,5,2,7,8,6,4,5,1,No,"Yes, I was less than 6 year old","Yes, I was less than 6 year old","Yes, I was 6 year old or older, but less than 12 year old",Beatings from Parents,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)","Yes, I was less than 6 year old",No,Nooo,No,No,1,2,4,3,3,4,3,4,4,2,4,2,3,2,3,5,5,3,5,5,2,5,2,1,5,5,1,3,5,4
Gaurav Upadhyay,25,Male,gauravupadhyay@outlook.com,8483087553,3,8,9,8,8,2,3,8,7,10,7,9,4,1,2,4,2,10,4,5,9,7,1,5,5,10,5,No,No,No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,Yes,N/A,No,Yes,4,3,2,4,2,1,5,1,5,2,1,3,2,3,4,2,5,4,1,3,1,4,1,2,3,3,1,2,2,4
Kamal Rajput,30,Male,kamalrajput@gmail.com,8564704909,10,6,2,9,9,2,1,10,6,4,8,4,9,7,2,1,1,10,6,6,5,7,10,1,1,3,2,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,Nothing,No,No,No,N/A,No,Don't know,2,4,3,1,1,4,3,2,4,1,2,4,4,5,4,5,4,4,3,5,3,5,1,3,4,2,1,4,2,4
Gautam Upadhyay,24,Male,gautamupadhyay@gmail.com,6370494931,9,9,2,9,9,8,5,3,2,8,4,2,4,10,10,7,9,3,1,6,2,10,8,1,6,3,8,No,No,"Yes, I was 16 year old or older",No,Na,No,No,No,No,No,No,2,3,1,4,3,4,1,3,2,3,4,2,3,4,4,2,2,2,4,3,2,2,4,2,2,4,1,3,4,3
Rohit Pillai,19,Male,rohitpillai@gmail.com,9074208633,8,2,1,7,4,6,7,4,8,7,1,1,5,8,1,8,5,9,2,7,4,2,1,10,5,2,1,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",Nooo,No,No,No,N/A,No,Don't know,1,2,2,4,2,5,3,1,4,1,5,4,5,5,1,1,3,1,4,2,1,5,4,2,2,4,3,2,4,2
Mukesh Mani,18,Male,mukeshmani@yahoo.com,6594949580,4,2,3,7,5,8,8,1,3,10,1,10,2,3,8,1,6,7,6,10,9,5,3,10,9,5,8,Yes,No,No,No,Na,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)",No,"Yes, I was 6 year old or older, but less than 12 year old",It's ok to have,No,No,5,2,2,3,5,1,1,1,3,2,3,3,5,3,5,4,2,3,4,4,5,5,5,3,4,1,5,4,3,1
Naman Mathur,28,Male,namanmathur@hotmail.com,7297899199,4,8,7,3,2,5,3,1,5,7,1,6,6,5,1,2,10,4,3,1,7,9,8,5,2,10,10,No,No,No,No,Nooo,No,No,No,Not Relevant,No,No,2,5,4,5,1,3,1,5,5,2,2,4,1,2,1,5,3,3,3,2,1,4,2,2,1,5,3,5,4,5
Vinod Vyas,30,Male,vinodvyas@yahoo.com,9553208351,8,1,3,7,10,8,4,10,9,7,2,8,9,1,1,2,6,3,5,4,2,4,8,7,8,1,1,No,"Yes, I was less than 6 year old",No,Yes,Commenting,No,No,No,No,No,Don't know,1,3,1,4,2,4,3,2,1,1,5,3,2,4,4,2,2,2,3,4,3,1,2,3,5,1,3,4,3,2
Yogesh Subramanian,29,Male,yogeshsubramanian@hotmail.com,7559672045,9,5,7,3,6,10,10,1,3,4,6,10,3,6,3,2,9,6,9,10,9,1,7,7,10,7,6,No,No,No,No,It's ok to have,No,No,No,Not Relevant,No,Not applicable,4,2,2,3,2,4,4,1,5,3,5,4,5,3,2,5,5,4,2,4,5,1,4,1,5,2,2,1,5,1
Madhav Kashyap,18,Male,madhavkashyap@hotmail.com,7271056399,6,1,1,4,8,8,9,4,9,8,8,5,9,6,1,4,3,5,9,8,9,6,6,6,10,8,3,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",Commenting,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)",No,"Yes, I was less than 6 year old",Nooo,No,Yes,3,2,1,5,1,1,4,3,1,5,1,3,3,2,4,1,5,5,3,2,1,1,2,1,4,3,4,1,4,4
Anuj Datta,29,Male,anujdatta@yahoo.com,7092509995,5,7,4,4,1,1,1,3,9,4,1,3,8,2,4,9,2,9,9,3,9,2,1,7,1,6,2,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,Commenting,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)","Yes, I was 12 year old or older, but less than 16 year old",No,Na,No,Don't know,2,3,3,4,1,4,1,2,5,4,4,3,5,5,4,1,1,4,3,1,5,4,4,5,4,3,5,1,2,2
Vinay Saluja,23,Male,vinaysaluja@gmail.com,6801402207,9,6,4,10,7,8,5,7,2,2,9,8,10,10,4,4,5,3,5,5,5,9,1,10,10,4,1,Yes,No,No,No,No,No,No,Yes,Beatings from Parents,No,Don't know,1,2,2,4,4,1,4,5,3,5,4,3,3,2,4,4,4,5,1,3,3,5,4,2,2,3,3,4,2,3
Pawan Kohli,30,Male,pawankohli@gmail.com,8347667343,10,7,9,3,1,10,4,8,4,1,6,5,2,1,8,6,2,9,6,2,3,3,10,1,8,9,4,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,Commenting,Yes,"Yes, I was less than 6 year old",No,Na,No,Yes,3,4,3,3,5,4,4,4,1,3,3,2,5,1,3,4,1,5,3,3,3,2,4,1,3,5,5,4,4,2
Lakshya Varma,28,Male,lakshyavarma@yahoo.com,6095884077,5,10,5,7,4,2,9,7,1,4,1,5,6,8,2,2,6,7,8,1,1,3,3,3,3,1,10,No,No,No,No,Not Relevant,No,No,"Yes, I was 12 year old or older, but less than 16 year old",Beatings from Parents,Yes,Don't know,1,2,2,2,2,4,4,4,3,4,4,3,2,1,1,1,2,5,4,4,4,1,5,2,1,5,3,3,3,1
Alok Basu,22,Male,alokbasu@hotmail.com,9290837263,10,2,7,6,1,2,9,1,5,5,2,2,3,6,9,10,3,6,10,5,6,1,8,1,5,5,7,No,No,No,No,Na,No,No,No,N/A,No,No,5,1,1,5,5,5,1,1,2,3,5,5,3,4,5,4,3,5,4,1,1,5,4,2,3,5,1,5,2,2
Dinesh Kaul,26,Male,dineshkaul@hotmail.com,7571144004,8,4,5,9,9,1,3,2,9,1,9,7,5,6,1,5,10,10,10,2,5,1,6,8,9,6,9,No,No,No,No,Nothing,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)",No,No,Commenting,"Yes, I have discussed it with a relative",No,2,5,5,5,1,1,4,3,5,5,4,1,4,1,2,2,1,1,1,4,1,2,3,3,1,2,2,2,1,5
Varun Singh,18,Male,varunsingh@hotmail.com,9212437165,9,3,9,9,9,7,8,4,10,4,2,5,9,1,2,7,1,6,6,7,8,10,3,6,7,4,6,No,No,No,No,N/A,No,"Yes, I was 6 year old or older, but less than 12 year old",Yes,Not Relevant,No,No,5,2,5,4,1,4,1,4,5,4,1,3,4,4,1,5,4,4,4,2,4,2,5,5,5,2,4,3,1,3
Gopal Datta,21,Male,gopaldatta@yahoo.com,9984991980,7,4,9,9,10,2,9,3,3,2,1,7,10,3,9,4,4,4,1,9,4,1,3,2,10,3,1,Yes,No,No,No,No,No,"Yes, I was less than 6 year old",No,N/A,No,Not applicable,2,3,1,2,2,3,4,5,3,5,1,4,2,2,2,1,3,1,2,2,4,2,1,1,2,5,4,1,3,1
Gautam Sood,26,Male,gautamsood@hotmail.com,8178001398,6,5,10,4,1,10,8,9,8,1,6,8,8,8,2,4,8,7,3,6,3,8,8,7,2,6,4,No,No,No,No,Na,No,No,No,No,No,Don't know,1,5,4,2,5,3,3,1,5,3,1,3,4,3,2,1,5,5,5,5,2,2,2,3,1,5,5,4,2,5
Nikhil Ray,29,Male,nikhilray@yahoo.com,7385774154,1,9,1,4,1,5,1,4,10,1,6,10,9,2,8,8,5,10,9,5,5,1,7,4,8,7,7,No,No,No,No,Na,No,No,No,No,No,Don't know,4,5,1,5,4,5,4,4,4,5,3,1,4,1,3,5,2,4,3,1,2,5,5,2,5,3,1,1,5,5
Vaibhav Gulati,21,Male,vaibhavgulati@outlook.com,6376738474,10,2,10,6,6,3,1,3,4,9,6,5,7,7,1,3,2,10,5,7,9,5,2,7,10,9,9,No,No,No,No,Not Relevant,No,No,No,Nooo,No,Yes,3,4,3,5,2,3,1,3,5,2,4,3,4,1,1,4,3,2,4,3,3,2,4,2,2,1,1,4,5,1
Saksham Mittal,22,Male,sakshammittal@outlook.com,9004663784,8,2,4,3,9,5,5,1,5,7,3,5,6,3,7,3,6,1,9,3,7,10,6,4,3,6,7,"Yes, I was less than 6 year old",No,No,No,Nothing,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",No,No,Nothing,No,Yes,2,3,5,4,3,3,5,2,1,5,5,5,3,4,5,5,3,1,2,4,2,1,2,2,2,5,3,3,5,4
Hemant Tripathi,21,Male,hemanttripathi@gmail.com,8680523779,9,3,4,7,5,2,3,6,8,5,5,7,6,3,4,2,8,4,3,8,5,2,5,10,3,3,5,No,No,"Yes, I was 16 year old or older",No,Not Relevant,No,No,No,Nooo,No,Not applicable,2,3,1,3,5,3,5,4,5,2,2,5,3,4,3,2,3,4,3,2,4,2,3,5,3,3,1,2,5,2
Ayush Misra,21,Male,ayushmisra@gmail.com,9568791522,9,3,6,4,3,5,9,4,5,10,7,10,5,3,8,1,1,9,7,5,2,7,3,9,1,2,2,"Yes, I was 16 year old or older",No,No,No,Not Relevant,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",Yes,No,Na,No,Yes,4,3,3,2,1,2,2,1,2,4,5,5,5,1,4,2,1,5,3,5,5,1,4,4,1,4,5,2,5,3
Lakshya Shukla,18,Male,lakshyashukla@gmail.com,6174606927,5,9,9,6,3,6,8,2,8,10,3,4,6,1,10,2,1,9,3,8,7,5,3,10,3,10,7,No,No,No,No,Not Relevant,No,No,No,No,No,Yes,4,5,3,1,4,5,5,3,3,4,5,2,2,3,1,1,2,2,5,1,4,1,4,3,2,2,3,3,5,2
Ekansh Sharma,27,Male,ekanshsharma@outlook.com,6720637702,1,2,6,9,1,5,4,6,3,10,5,6,1,4,9,7,4,6,3,7,2,9,6,3,9,3,7,"Yes, I was 16 year old or older",No,"Yes, I was 6 year old or older, but less than 12 year old",No,Not Relevant,No,No,"Yes, I was less than 6 year old",Nooo,No,No,2,4,1,2,3,4,2,2,3,3,4,3,5,5,3,2,1,2,4,4,4,2,2,4,2,3,5,2,3,1
Bhuvan Misra,26,Male,bhuvanmisra@gmail.com,6034328858,7,8,10,9,1,3,2,2,8,7,9,1,8,3,1,1,4,10,9,5,2,3,10,5,6,5,2,No,No,No,No,Na,"Yes, I have discussed it with a relative",No,No,Commenting,No,Not applicable,2,1,4,5,5,3,4,3,4,2,3,5,5,4,4,4,5,2,2,5,2,1,5,1,5,3,5,3,5,1
Pradeep Ahuja,25,Male,pradeepahuja@hotmail.com,9132025655,5,2,10,8,9,8,10,4,3,1,1,7,6,7,9,8,2,1,3,10,6,2,1,8,6,9,2,No,No,No,No,Commenting,No,No,No,No,No,No,4,2,5,3,4,3,4,1,5,2,4,2,4,5,5,3,3,4,3,2,1,2,1,2,2,3,2,4,3,1
Ishan Prakash,23,Male,ishanprakash@hotmail.com,7970489817,2,3,8,6,3,3,1,10,7,1,10,3,6,7,5,2,5,4,6,1,8,1,2,6,5,5,5,No,No,"Yes, I was less than 6 year old",No,Na,No,No,No,N/A,"Yes, I have discussed it with a relative",No,5,3,3,4,1,1,5,5,2,4,1,1,3,5,5,1,2,1,1,5,1,1,5,4,1,3,2,2,1,4
Raunak Rajput,27,Male,raunakrajput@outlook.com,6289674894,1,10,9,10,8,9,9,7,6,9,4,2,8,2,10,4,2,3,8,8,8,5,2,4,6,1,7,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,Na,No,No,No,Na,No,Don't know,4,4,1,3,4,2,5,2,4,1,5,3,3,5,4,5,3,2,4,1,2,4,1,4,5,2,2,2,2,4
Arvind Yadav,29,Male,arvindyadav@gmail.com,6585104146,7,6,2,2,8,9,3,3,8,3,8,9,4,10,10,9,6,4,1,7,6,7,5,4,4,10,4,No,No,Yes,No,It's ok to have,Yes,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,Don't know,3,1,4,2,2,5,5,2,2,1,1,3,1,1,3,4,2,2,1,1,3,2,1,2,4,3,4,5,2,3
Suresh Bakshi,30,Male,sureshbakshi@outlook.com,8207236636,4,9,1,5,9,7,7,10,5,2,3,5,5,3,2,5,2,4,4,2,10,10,4,2,9,7,10,No,No,No,No,No,No,"Yes, I was 16 year old or older",No,Not Relevant,No,Don't know,3,3,1,5,2,5,5,2,4,3,1,5,1,3,5,4,4,3,1,5,3,3,3,4,2,3,3,5,1,4
Shashank Nagpal,18,Male,shashanknagpal@yahoo.com,6472400911,7,9,4,6,5,5,2,4,3,7,5,7,3,7,8,6,4,9,5,6,4,8,6,3,10,7,5,No,No,No,No,Commenting,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",No,No,N/A,No,Yes,4,5,1,2,4,1,4,1,4,4,1,5,2,4,1,4,2,4,5,2,2,5,5,3,5,3,5,4,3,2
Chetan Dubey,28,Male,chetandubey@yahoo.com,8182109461,9,8,8,9,9,4,6,8,9,6,1,10,10,9,3,2,10,7,8,8,6,8,4,9,7,6,9,No,No,No,"Yes, I was less than 6 year old",No,Yes,No,No,It's ok to have,No,Don't know,4,3,4,4,5,2,3,1,1,5,4,3,3,5,4,3,5,3,2,2,3,2,2,1,1,5,5,3,4,1
Karan Jha,27,Male,karanjha@outlook.com,9590022244,10,4,6,2,5,1,6,7,9,6,8,10,2,3,10,3,4,9,9,8,4,9,8,9,7,6,7,No,No,No,No,No,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)",No,No,Commenting,No,No,5,5,3,4,5,4,4,5,5,1,5,5,4,2,5,1,5,3,1,5,5,4,5,1,1,5,3,3,4,3
Vikash Grover,27,Male,vikashgrover@yahoo.com,6301604579,5,9,4,3,1,9,2,3,5,10,6,7,7,3,7,10,5,10,4,10,6,3,10,7,7,2,9,"Yes, I was 12 year old or older, but less than 16 year old",No,No,"Yes, I was less than 6 year old",Beatings from Parents,No,No,No,Beatings from Parents,No,Yes,4,5,3,4,4,3,1,2,3,3,1,4,3,3,4,2,5,4,3,2,3,5,2,2,5,3,3,5,1,2
Akshit Tripathi,24,Male,akshittripathi@hotmail.com,9728667462,2,8,4,10,9,10,8,4,4,3,4,8,1,8,5,5,2,1,1,10,1,7,2,9,1,2,3,"Yes, I was 16 year old or older",No,"Yes, I was 12 year old or older, but less than 16 year old",No,It's ok to have,No,No,No,Not Relevant,No,No,1,5,2,5,2,1,2,5,4,5,3,5,4,3,2,1,4,3,5,4,5,4,5,3,3,5,3,2,5,3
Hemant Shah,28,Male,hemantshah@gmail.com,8619292876,7,6,6,9,4,8,8,4,8,5,7,1,5,4,4,1,5,9,9,3,4,8,3,8,9,2,8,No,No,No,"Yes, I was less than 6 year old",Nooo,Yes,No,"Yes, I was 16 year old or older",No,"Yes, I have discussed it with a relative",Not applicable,3,1,3,3,3,4,5,5,5,4,4,4,2,3,1,5,3,2,4,2,3,1,3,4,3,5,2,2,2,1
Vihaan Datta,30,Male,vihaandatta@gmail.com,7391719731,10,8,2,5,7,3,4,1,6,5,7,6,8,8,1,5,2,2,4,5,2,2,5,9,1,3,7,Yes,"Yes, I was 16 year old or older",No,No,Na,"Yes, I have discussed it with a relative",No,No,Nooo,No,Not applicable,4,3,4,5,3,3,1,1,4,1,1,2,4,2,5,2,3,5,5,1,3,1,3,4,4,4,4,3,1,2
Chetan Chawla,30,Male,chetanchawla@hotmail.com,8152095452,7,5,7,1,2,9,9,9,5,10,2,6,4,4,5,10,3,5,5,5,8,10,6,3,7,1,5,No,No,No,No,Not Relevant,No,No,No,Beatings from Parents,No,Don't know,4,5,4,3,4,3,3,2,4,1,3,5,1,3,2,3,4,4,2,3,1,2,3,2,4,4,3,2,1,2
Vinod Deshpande,25,Male,vinoddeshpande@hotmail.com,8325902018,9,1,3,8,4,1,1,1,9,3,8,3,3,1,3,9,1,4,3,6,2,5,9,6,7,1,4,No,No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,No,Yes,Not Relevant,No,Yes,4,1,4,5,2,2,2,5,1,4,1,3,3,2,2,5,5,3,3,1,1,1,4,3,5,2,5,4,3,4
Siddharth Deshpande,25,Male,siddharthdeshpande@hotmail.com,9847021457,3,4,3,3,3,6,1,6,2,10,3,10,6,9,1,3,7,4,8,6,7,7,1,2,6,8,6,No,No,No,No,Na,No,No,No,Commenting,No,Not applicable,3,4,2,3,1,5,3,5,1,5,4,2,4,5,5,4,3,2,3,1,4,2,2,5,2,2,2,4,5,4
Jatin Mittal,26,Male,jatinmittal@hotmail.com,6970132773,3,4,5,10,8,7,6,8,6,4,1,1,7,7,6,4,5,1,6,8,2,5,6,9,7,4,10,No,No,No,No,Na,No,Yes,No,Commenting,No,Not applicable,3,1,2,1,3,2,1,1,5,1,2,2,1,2,2,5,5,5,4,4,4,2,5,4,2,2,1,5,2,4
Avinash Oberoi,30,Male,avinashoberoi@gmail.com,7858263278,2,10,3,9,2,4,8,10,8,10,10,10,10,7,8,2,4,1,4,6,10,7,9,4,1,1,4,No,"Yes, I was 6 year old or older, but less than 12 year old","Yes, I was less than 6 year old",No,Nothing,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",Yes,No,Beatings from Parents,No,Don't know,4,4,1,5,4,3,5,3,3,3,5,1,4,2,4,1,5,5,3,1,1,3,2,5,5,5,4,1,3,2
Nitin Jha,23,Male,nitinjha@outlook.com,6174170069,1,10,8,2,3,10,2,5,5,7,10,1,7,5,10,8,8,3,3,9,6,7,3,8,3,9,1,No,No,No,No,N/A,Yes,No,No,Nooo,No,No,3,5,5,5,3,2,5,1,3,3,2,5,1,2,3,4,4,2,4,2,2,2,4,2,2,3,4,3,5,3
Vikash Kashyap,27,Male,vikashkashyap@gmail.com,9686736277,1,8,4,7,6,3,6,8,10,1,7,1,9,6,6,1,7,3,3,1,2,3,2,2,9,3,3,No,Yes,No,"Yes, I was 12 year old or older, but less than 16 year old",Na,No,No,No,Nothing,No,No,5,5,3,3,4,1,3,2,1,4,5,4,4,1,1,2,4,5,3,2,4,4,3,2,4,2,4,1,2,2
Sunil Shukla,30,Male,sunilshukla@hotmail.com,9688528033,8,8,2,2,10,1,5,10,6,1,4,4,1,3,4,10,6,4,6,4,10,3,2,9,3,8,8,Yes,"Yes, I was less than 6 year old","Yes, I was 16 year old or older",No,Commenting,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",No,No,It's ok to have,No,Don't know,5,4,4,1,1,3,3,3,4,5,5,5,4,3,5,2,4,2,2,1,4,3,4,3,2,4,1,1,1,2
Mahesh Raval,18,Male,maheshraval@outlook.com,9305241200,3,1,9,1,2,2,10,9,9,7,10,5,2,8,3,8,1,3,1,6,6,2,3,10,2,9,8,No,No,No,No,Not Relevant,Yes,"Yes, I was 16 year old or older",Yes,No,No,No,2,5,5,1,3,3,4,2,3,3,4,2,2,1,3,2,3,3,3,5,3,3,2,3,4,2,2,3,3,1
Anuj Mahajan,26,Male,anujmahajan@hotmail.com,9632609097,10,3,6,9,3,5,8,7,9,8,8,3,7,3,10,8,4,1,9,6,1,6,8,6,4,7,7,Yes,No,No,No,It's ok to have,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)",No,No,Nooo,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",Don't know,3,2,2,5,5,2,3,4,3,3,2,5,5,2,3,1,2,3,5,1,2,4,3,1,3,2,3,2,3,4
Daksh Raghavan,19,Male,dakshraghavan@outlook.com,7304342728,2,6,7,10,4,10,4,1,7,2,1,6,1,10,2,3,2,1,3,7,1,1,1,10,5,9,9,No,No,No,No,Na,No,No,No,Nooo,No,Yes,5,5,3,5,4,3,2,5,2,5,4,1,2,4,2,5,3,1,3,5,3,2,1,1,4,4,4,4,2,4
Ashish Mittal,28,Male,ashishmittal@outlook.com,6062629611,10,3,5,2,8,5,9,8,1,3,5,1,5,5,10,5,7,1,3,3,3,7,7,10,9,9,1,"Yes, I was 16 year old or older",Yes,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,Beatings from Parents,No,Don't know,4,1,4,3,4,5,2,3,5,5,1,2,1,3,3,2,1,3,2,5,3,3,2,2,5,5,1,5,3,4
Prashant Chakraborty,25,Male,prashantchakraborty@gmail.com,8170369599,9,10,10,8,2,3,4,8,8,6,6,8,9,8,6,1,4,8,5,5,10,8,4,9,7,3,7,"Yes, I was 12 year old or older, but less than 16 year old",No,"Yes, I was 6 year old or older, but less than 12 year old",No,Beatings from Parents,No,No,No,Not Relevant,No,No,3,2,4,1,4,4,4,3,2,3,3,1,4,4,5,5,2,4,3,4,1,4,3,5,4,2,2,1,1,5
Piyush Kumar,24,Male,piyushkumar@gmail.com,7744380705,2,5,5,9,3,1,3,6,10,5,1,1,9,9,5,9,1,10,2,10,1,6,5,9,1,9,8,"Yes, I was 16 year old or older",No,"Yes, I was 16 year old or older",No,Na,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",No,No,Not Relevant,"Yes, I have discussed it with a relative",Don't know,5,4,3,3,2,1,5,3,5,1,2,5,3,3,5,1,2,4,2,3,5,5,3,1,5,5,4,1,4,3
Kishore Bajaj,28,Male,kishorebajaj@gmail.com,9407139665,4,9,5,1,2,7,2,10,3,3,2,3,9,7,5,3,4,3,8,8,9,4,1,9,10,4,4,No,No,No,No,N/A,No,No,"Yes, I was 12 year old or older, but less than 16 year old",Commenting,No,Not applicable,1,3,5,1,5,1,2,5,5,2,4,2,4,5,2,3,2,4,2,5,4,5,2,4,3,2,2,2,5,1
Yogesh Pandey,28,Male,yogeshpandey@gmail.com,7700301470,10,9,1,5,5,4,2,3,7,1,4,5,6,5,9,9,2,10,7,5,7,7,10,10,3,9,10,No,"Yes, I was 16 year old or older",No,No,Not Relevant,No,No,No,Commenting,No,Not applicable,2,2,3,5,1,3,1,1,2,4,1,2,5,2,5,3,5,2,4,5,4,4,2,2,5,1,2,4,2,1
Dhruv Murthy,28,Male,dhruvmurthy@yahoo.com,9731105728,3,6,3,5,4,10,9,6,8,9,9,2,1,1,9,1,9,6,9,10,4,3,2,3,6,6,8,No,"Yes, I was 16 year old or older",No,No,Commenting,No,No,No,Na,Yes,Yes,1,3,2,1,3,3,3,5,4,3,3,4,3,5,2,2,4,3,4,1,4,1,2,2,2,4,1,1,5,5
Mohit Soni,23,Male,mohitsoni@outlook.com,7543584852,9,7,9,10,3,3,9,2,2,1,3,4,2,3,1,9,8,1,8,7,3,9,8,5,1,3,9,No,No,No,No,No,No,Yes,No,Beatings from Parents,Yes,Yes,5,4,5,5,1,4,3,4,5,5,2,2,2,4,2,4,3,2,2,3,5,5,2,5,4,4,3,4,3,5
Rohan Dhawan,23,Male,rohandhawan@gmail.com,9605681509,2,10,3,4,3,9,4,7,1,10,3,3,8,10,4,1,2,2,9,2,7,2,1,9,4,6,5,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,Not Relevant,No,No,No,Beatings from Parents,No,Yes,4,3,4,4,2,3,1,5,4,3,5,3,1,5,3,2,3,2,2,2,1,3,5,2,4,4,2,2,2,4
Gautam Kashyap,20,Male,gautamkashyap@yahoo.com,7491755793,6,6,2,4,4,5,5,3,10,5,10,10,6,6,5,6,7,2,7,6,8,4,10,9,8,8,1,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,Na,No,No,"Yes, I was less than 6 year old",No,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",Yes,1,4,2,4,1,4,3,3,1,2,3,3,1,5,4,2,4,5,2,3,3,5,3,5,1,4,5,3,5,2
Dinesh Kashyap,20,Male,dineshkashyap@gmail.com,6485770047,4,9,10,5,7,1,3,6,5,7,10,6,1,7,5,5,10,8,6,3,5,4,8,6,10,3,7,No,No,Yes,No,Commenting,No,Yes,No,It's ok to have,No,Yes,1,3,2,3,4,2,3,2,3,5,1,1,2,4,3,4,2,2,3,4,1,3,1,5,5,4,5,3,3,3
Siddharth Prakash,25,Male,siddharthprakash@hotmail.com,7188248039,6,5,7,3,4,10,2,4,4,5,9,6,6,6,6,1,1,1,5,8,2,4,1,4,7,6,5,"Yes, I was less than 6 year old",No,No,No,Na,No,No,No,Commenting,No,Don't know,4,1,3,4,5,5,5,1,4,4,1,2,1,2,1,2,2,2,5,2,4,2,3,3,3,3,1,4,1,1
